,betrayal,victim_msgs,betrayer_msgs,victim_sentences,betrayer_sentences,victim_words,betrayer_words,victim_words_per_msg,betrayer_words_per_msg,victim_reqs,betrayer_reqs,victim_avg_polite,betrayer_avg_polite,victim_neg_perc,victim_neu_perc,victim_pos_perc,betrayer_neg_perc,betrayer_neu_perc,betrayer_pos_perc,victim_country,betrayer_country
0,True,2,30,112,108,1451,2104,725.5,70.13333333333334,39,83,6.700665891302689,0.730269174311443,0.5446428571428571,0.2767857142857143,0.17857142857142858,0.4722222222222222,0.2962962962962963,0.23148148148148148,0.0,1.0
1,False,1,8,12,11,112,101,112.0,12.625,4,6,2.4692036387485183,0.46468571044989637,0.4166666666666667,0.5,0.08333333333333333,0.6363636363636364,0.36363636363636365,0.0,0.16666666666666666,0.5
2,False,1,11,21,27,368,687,368.0,62.45454545454545,9,12,4.132161904538698,0.5429052625225279,0.5714285714285714,0.3333333333333333,0.09523809523809523,0.6666666666666666,0.2222222222222222,0.1111111111111111,0.0,0.8333333333333334
3,False,3,8,79,42,1552,802,517.3333333333334,100.25,54,28,3.019869507703367,0.6003064168373666,0.569620253164557,0.20253164556962025,0.22784810126582278,0.5952380952380952,0.23809523809523808,0.16666666666666666,0.0,0.8333333333333334
4,False,1,9,21,29,234,344,234.0,38.22222222222222,18,13,3.3262341846886905,0.6631112486750091,0.42857142857142855,0.3333333333333333,0.23809523809523808,0.3448275862068966,0.41379310344827586,0.2413793103448276,0.6666666666666666,1.0
5,True,1,20,108,121,1489,1697,1489.0,84.85,53,46,10.965025444937393,0.6830751302449467,0.46296296296296297,0.3333333333333333,0.2037037037037037,0.4462809917355372,0.2727272727272727,0.2809917355371901,0.0,0.5
6,False,1,4,13,17,170,156,170.0,39.0,5,8,1.699153198420543,0.677558399811389,0.6153846153846154,0.38461538461538464,0.0,0.23529411764705882,0.6470588235294118,0.11764705882352941,0.6666666666666666,1.0
7,False,1,2,3,4,19,28,19.0,14.0,1,1,0.43143179007859506,0.5406230754282861,0.0,0.0,1.0,0.0,0.75,0.25,0.0,1.0
8,True,1,9,8,25,47,236,47.0,26.22222222222222,3,12,2.057574330419925,0.5863137286285202,0.125,0.5,0.375,0.4,0.36,0.24,0.5,1.0
9,True,1,4,11,12,133,121,133.0,30.25,10,5,3.315499150567091,0.5984400568044063,0.2727272727272727,0.7272727272727273,0.0,0.5,0.25,0.25,0.8333333333333334,0.0
